txn_id,account_id,amount,txn_type,txn_date,category
T001,A001,2500.00,credit,2024-01-05,salary
T002,A001,850.00,debit,2024-01-12,payment
T003,A003,1800.00,credit,2024-01-08,salary
T004,A007,500.00,debit,2024-01-15,payment
T005,A022,750000.00,credit,2024-01-10,institutional_transfer
T006,A026,1200000.00,credit,2024-01-14,settlement
T007,A012,3200.00,credit,2024-01-20,deposit
T008,A035,45000.00,debit,2024-01-22,wire_transfer
T009,A009,1500.00,debit,2024-01-18,payment
T010,A004,2800.00,credit,2024-01-25,salary
T011,A016,4200.00,credit,2024-01-28,salary
T012,A049,8500.00,credit,2024-01-30,business_revenue
T013,A040,2800000.00,credit,2024-01-29,institutional_transfer
T014,A042,15000.00,credit,2024-01-31,interest
T015,A011,3100.00,credit,2024-01-07,salary
T016,A021,600.00,debit,2024-01-16,payment
T017,A050,12000.00,credit,2024-01-24,business_revenue
T018,A006,2200.00,credit,2024-01-09,salary
T019,A015,400.00,credit,2024-01-19,deposit
T020,A044,18000.00,credit,2024-01-31,interest
T021,A001,1200.00,debit,2024-02-03,payment
T022,A003,1800.00,credit,2024-02-08,salary
T023,A022,900000.00,debit,2024-02-12,settlement
T024,A029,650000.00,credit,2024-02-15,institutional_transfer
T025,A035,80000.00,credit,2024-02-18,settlement
T026,A007,320.00,debit,2024-02-06,payment
T027,A012,5000.00,debit,2024-02-10,wire_transfer
T028,A009,2200.00,credit,2024-02-20,salary
T029,A004,2800.00,credit,2024-02-22,salary
T030,A016,750.00,debit,2024-02-14,payment
T031,A049,6200.00,debit,2024-02-25,wire_transfer
T032,A040,500000.00,debit,2024-02-28,wire_transfer
T033,A011,180.00,debit,2024-02-07,payment
T034,A019,3500.00,credit,2024-02-11,salary
T035,A050,4800.00,debit,2024-02-19,payment
T036,A006,950.00,debit,2024-02-23,payment
T037,A042,22000.00,credit,2024-02-29,interest
T038,A015,600.00,credit,2024-02-26,deposit
T039,A044,12000.00,debit,2024-02-27,wire_transfer
T040,A021,280.00,credit,2024-02-13,deposit
T041,A001,2500.00,credit,2024-03-05,salary
T042,A003,1800.00,credit,2024-03-08,salary
T043,A022,1500000.00,credit,2024-03-10,settlement
T044,A026,400000.00,debit,2024-03-15,wire_transfer
T045,A035,120000.00,credit,2024-03-18,business_revenue
T046,A007,480.00,debit,2024-03-06,payment
T047,A012,4100.00,credit,2024-03-12,deposit
T048,A009,1900.00,debit,2024-03-20,payment
T049,A004,2800.00,credit,2024-03-22,salary
T050,A016,3800.00,debit,2024-03-25,wire_transfer
T051,A049,15000.00,credit,2024-03-28,business_revenue
T052,A040,3200000.00,debit,2024-03-29,settlement
T053,A011,2900.00,credit,2024-03-07,salary
T054,A019,420.00,debit,2024-03-11,payment
T055,A050,9500.00,debit,2024-03-19,wire_transfer
T056,A006,2200.00,credit,2024-03-09,salary
T057,A042,18000.00,credit,2024-03-31,interest
T058,A015,350.00,debit,2024-03-16,payment
T059,A021,1100.00,credit,2024-03-24,deposit
T060,A044,25000.00,credit,2024-03-30,interest
T061,A001,2500.00,credit,2024-04-05,salary
T062,A003,1800.00,credit,2024-04-08,salary
T063,A022,680000.00,debit,2024-04-11,settlement
T064,A026,2000000.00,credit,2024-04-14,institutional_transfer
T065,A035,55000.00,debit,2024-04-18,wire_transfer
T066,A007,2900.00,credit,2024-04-06,deposit
T067,A012,1200.00,debit,2024-04-10,payment
T068,A009,3100.00,credit,2024-04-20,salary
T069,A004,2800.00,credit,2024-04-22,salary
T070,A016,600.00,debit,2024-04-14,payment
T071,A049,7800.00,credit,2024-04-28,business_revenue
T072,A040,1100000.00,credit,2024-04-29,institutional_transfer
T073,A011,1400.00,debit,2024-04-07,payment
T074,A019,3500.00,credit,2024-04-11,salary
T075,A050,11000.00,credit,2024-04-24,business_revenue
T076,A006,1850.00,debit,2024-04-23,wire_transfer
T077,A042,20000.00,credit,2024-04-30,interest
T078,A015,800.00,credit,2024-04-26,deposit
T079,A021,450.00,debit,2024-04-16,payment
T080,A044,16000.00,credit,2024-04-30,interest
T081,A001,900.00,debit,2024-05-03,payment
T082,A003,1800.00,credit,2024-05-08,salary
T083,A022,2200000.00,credit,2024-05-10,settlement
T084,A026,750000.00,debit,2024-05-15,wire_transfer
T085,A035,95000.00,credit,2024-05-18,business_revenue
T086,A007,3400.00,credit,2024-05-06,deposit
T087,A012,2800.00,debit,2024-05-12,wire_transfer
T088,A009,2100.00,debit,2024-05-20,payment
T089,A004,2800.00,credit,2024-05-22,salary
T090,A016,4200.00,credit,2024-05-28,salary
T091,A049,5500.00,debit,2024-05-25,payment
T092,A040,4500000.00,debit,2024-05-29,settlement
T093,A011,3000.00,credit,2024-05-07,salary
T094,A019,680.00,debit,2024-05-11,payment
T095,A050,18000.00,credit,2024-05-24,business_revenue
T096,A006,2200.00,credit,2024-05-09,salary
T097,A042,24000.00,credit,2024-05-31,interest
T098,A015,500.00,credit,2024-05-26,deposit
T099,A021,200.00,debit,2024-05-16,payment
T100,A044,14000.00,credit,2024-05-31,interest
T101,A001,2500.00,credit,2024-06-05,salary
T102,A003,1800.00,credit,2024-06-08,salary
T103,A022,820000.00,debit,2024-06-11,settlement
T104,A026,1800000.00,credit,2024-06-14,institutional_transfer
T105,A035,42000.00,debit,2024-06-18,wire_transfer
T106,A007,550.00,debit,2024-06-06,payment
T107,A012,6500.00,credit,2024-06-12,deposit
T108,A009,2500.00,credit,2024-06-20,salary
T109,A004,2800.00,credit,2024-06-22,salary
T110,A016,1100.00,debit,2024-06-14,payment
T111,A049,22000.00,credit,2024-06-28,business_revenue
T112,A040,900000.00,credit,2024-06-29,institutional_transfer
T113,A011,3200.00,credit,2024-06-07,salary
T114,A019,3500.00,credit,2024-06-11,salary
T115,A050,7500.00,debit,2024-06-19,wire_transfer
T116,A006,1750.00,debit,2024-06-23,payment
T117,A042,19000.00,credit,2024-06-30,interest
T118,A015,900.00,credit,2024-06-26,deposit
T119,A021,350.00,debit,2024-06-16,payment
T_BAD,A048,-200,debit,2024-06-28,adjustment
T120,A044,21000.00,credit,2024-06-30,interest
T121,A051,3200.00,credit,2024-07-03,salary
T122,A051,450.00,debit,2024-07-09,payment
T123,A052,1500.00,credit,2024-07-15,deposit
T124,A053,5500000.00,credit,2024-07-02,institutional_transfer
T125,A053,3200000.00,debit,2024-07-10,settlement
T126,A054,800.00,credit,2024-07-05,salary
T127,A054,350.00,debit,2024-07-12,payment
T128,A055,85000.00,credit,2024-07-08,dividend
T129,A056,180000.00,credit,2024-07-01,interest
T130,A057,42000.00,credit,2024-07-04,business_revenue
T131,A057,18500.00,debit,2024-07-11,wire_transfer
T132,A058,95000.00,credit,2024-07-06,credit_drawdown
T133,A051,3200.00,credit,2024-08-03,salary
T134,A051,680.00,debit,2024-08-14,payment
T135,A053,4800000.00,credit,2024-08-07,institutional_transfer
T136,A054,800.00,credit,2024-08-05,salary
T137,A055,62000.00,credit,2024-08-12,dividend
T138,A057,38000.00,credit,2024-08-09,business_revenue
T139,A058,45000.00,debit,2024-08-20,wire_transfer
T140,A052,2000.00,credit,2024-08-28,deposit
T141,A059,4500.00,credit,2024-09-03,business_revenue
T142,A059,2100.00,debit,2024-09-09,wire_transfer
T143,A060,60000.00,credit,2024-09-05,credit_drawdown
T144,A061,3100.00,credit,2024-09-04,salary
T145,A061,420.00,debit,2024-09-11,payment
T146,A062,1800.00,credit,2024-09-15,deposit
T147,A063,7200000.00,credit,2024-09-02,institutional_transfer
T148,A063,4100000.00,debit,2024-09-12,settlement
T149,A064,95000.00,credit,2024-09-08,dividend
T150,A065,250000.00,credit,2024-09-01,interest
T151,A066,2800.00,credit,2024-09-06,salary
T152,A066,650.00,debit,2024-09-14,payment
T153,A067,5000.00,credit,2024-09-20,deposit
T154,A068,500000.00,credit,2024-09-03,interest
T155,A059,4500.00,credit,2024-10-03,business_revenue
T156,A060,35000.00,debit,2024-10-10,wire_transfer
T157,A061,3100.00,credit,2024-10-04,salary
T158,A063,6800000.00,credit,2024-10-07,institutional_transfer
T159,A064,78000.00,credit,2024-10-09,dividend
T160,A066,2800.00,credit,2024-10-06,salary
T161,A067,3200.00,credit,2024-10-18,deposit
T162,A065,250000.00,credit,2024-10-01,interest
T163,A062,2500.00,credit,2024-10-22,deposit
T164,A068,500000.00,credit,2024-10-03,interest
T165,A059,1800.00,debit,2024-10-15,payment
T166,A001,3500.00,credit,2025-01-05,salary
T167,A003,2800.00,credit,2025-01-07,salary
T168,A007,620.00,debit,2025-01-09,payment
T169,A012,7200.00,credit,2025-01-14,deposit
T170,A022,950000.00,debit,2025-01-16,settlement
T171,A026,2100000.00,credit,2025-01-20,institutional_transfer
T172,A051,3200.00,credit,2025-01-06,salary
T173,A059,5100.00,credit,2025-01-08,business_revenue
T174,A063,8100000.00,credit,2025-01-13,institutional_transfer
T175,A065,250000.00,credit,2025-01-02,interest
T176,A001,3500.00,credit,2025-02-05,salary
T177,A004,2800.00,credit,2025-02-06,salary
T178,A009,2500.00,credit,2025-02-10,salary
T179,A016,1200.00,debit,2025-02-12,payment
T180,A035,38000.00,debit,2025-02-18,wire_transfer
T181,A057,44000.00,credit,2025-02-14,business_revenue
T182,A064,88000.00,credit,2025-02-11,dividend
T183,A068,500000.00,credit,2025-02-03,interest
T184,A022,1100000.00,debit,2025-02-20,settlement
T185,A040,880000.00,credit,2025-02-27,institutional_transfer
T186,A001,3500.00,credit,2025-03-05,salary
T187,A003,2800.00,credit,2025-03-07,salary
T188,A012,8500.00,credit,2025-03-10,deposit
T189,A049,25000.00,credit,2025-03-15,business_revenue
T190,A063,5500000.00,debit,2025-03-18,settlement
T191,A065,250000.00,credit,2025-03-02,interest
T192,A051,3200.00,credit,2025-03-06,salary
T193,A061,3100.00,credit,2025-03-04,salary
T194,A066,2800.00,credit,2025-03-07,salary
T195,A067,4100.00,credit,2025-03-22,deposit
T196,A001,3500.00,credit,2025-04-05,salary
T197,A004,2800.00,credit,2025-04-06,salary
T198,A022,1300000.00,credit,2025-04-08,institutional_transfer
T199,A026,1800000.00,debit,2025-04-14,settlement
T200,A035,45000.00,debit,2025-04-17,wire_transfer
T201,A057,51000.00,credit,2025-04-10,business_revenue
T202,A059,5100.00,credit,2025-04-04,business_revenue
T203,A064,72000.00,credit,2025-04-09,dividend
T204,A068,500000.00,credit,2025-04-02,interest
T205,A012,6000.00,credit,2025-04-20,deposit
T206,A001,3500.00,credit,2025-05-05,salary
T207,A009,2500.00,credit,2025-05-08,salary
T208,A019,3500.00,credit,2025-05-09,salary
T209,A022,980000.00,debit,2025-05-13,settlement
T210,A040,920000.00,credit,2025-05-20,institutional_transfer
T211,A051,3200.00,credit,2025-05-06,salary
T212,A057,47000.00,credit,2025-05-11,business_revenue
T213,A063,7400000.00,credit,2025-05-07,institutional_transfer
T214,A065,250000.00,credit,2025-05-02,interest
T215,A067,3800.00,credit,2025-05-24,deposit
T216,A001,3500.00,credit,2025-06-05,salary
T217,A003,2800.00,credit,2025-06-06,salary
T218,A007,580.00,debit,2025-06-09,payment
T219,A016,950.00,debit,2025-06-11,payment
T220,A026,2400000.00,credit,2025-06-16,institutional_transfer
T221,A035,39000.00,debit,2025-06-19,wire_transfer
T222,A059,5100.00,credit,2025-06-05,business_revenue
T223,A064,91000.00,credit,2025-06-10,dividend
T224,A068,500000.00,credit,2025-06-03,interest
T225,A062,2200.00,credit,2025-06-26,deposit
T226,A001,3500.00,credit,2025-07-05,salary
T227,A004,2800.00,credit,2025-07-07,salary
T228,A012,9100.00,credit,2025-07-12,deposit
T229,A022,1050000.00,debit,2025-07-15,settlement
T230,A040,1100000.00,credit,2025-07-22,institutional_transfer
T231,A051,3200.00,credit,2025-07-06,salary
T232,A057,53000.00,credit,2025-07-14,business_revenue
T233,A063,6200000.00,credit,2025-07-09,institutional_transfer
T234,A065,250000.00,credit,2025-07-01,interest
T235,A066,2800.00,credit,2025-07-08,salary
T236,A001,3500.00,credit,2025-08-05,salary
T237,A009,2500.00,credit,2025-08-07,salary
T238,A019,3500.00,credit,2025-08-08,salary
T239,A026,1950000.00,debit,2025-08-13,settlement
T240,A035,41000.00,debit,2025-08-16,wire_transfer
T241,A059,5100.00,credit,2025-08-06,business_revenue
T242,A064,84000.00,credit,2025-08-11,dividend
T243,A068,500000.00,credit,2025-08-04,interest
T244,A062,3000.00,credit,2025-08-28,deposit
T245,A067,4500.00,credit,2025-08-30,deposit
T246,A001,3500.00,credit,2025-09-05,salary
T247,A003,2800.00,credit,2025-09-06,salary
T248,A012,7800.00,credit,2025-09-10,deposit
T249,A022,1200000.00,credit,2025-09-09,institutional_transfer
T250,A040,950000.00,debit,2025-09-18,settlement
T251,A051,3200.00,credit,2025-09-07,salary
T252,A057,49000.00,credit,2025-09-12,business_revenue
T253,A063,8900000.00,credit,2025-09-03,institutional_transfer
T254,A065,250000.00,credit,2025-09-02,interest
T255,A066,2800.00,credit,2025-09-05,salary
T256,A001,3500.00,credit,2025-10-05,salary
T257,A004,2800.00,credit,2025-10-07,salary
T258,A007,700.00,debit,2025-10-09,payment
T259,A016,880.00,debit,2025-10-13,payment
T260,A026,2700000.00,credit,2025-10-15,institutional_transfer
T261,A059,5100.00,credit,2025-10-06,business_revenue
T262,A064,97000.00,credit,2025-10-10,dividend
T263,A068,500000.00,credit,2025-10-02,interest
T264,A062,2800.00,credit,2025-10-24,deposit
T265,A067,5200.00,credit,2025-10-29,deposit
T266,A001,3500.00,credit,2025-11-05,salary
T267,A009,2500.00,credit,2025-11-07,salary
T268,A019,3500.00,credit,2025-11-08,salary
T269,A022,1400000.00,debit,2025-11-12,settlement
T270,A040,1250000.00,credit,2025-11-19,institutional_transfer
T271,A051,3200.00,credit,2025-11-06,salary
T272,A057,56000.00,credit,2025-11-13,business_revenue
T273,A063,7700000.00,credit,2025-11-05,institutional_transfer
T274,A065,250000.00,credit,2025-11-03,interest
T275,A066,2800.00,credit,2025-11-06,salary
T276,A001,3500.00,credit,2025-12-05,salary
T277,A003,2800.00,credit,2025-12-06,salary
T278,A012,11000.00,credit,2025-12-12,deposit
T279,A026,3100000.00,credit,2025-12-16,institutional_transfer
